,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed,Miles,Minutes,Trip_hours,average_mph,maximum_mph
2014-01-31,1181.38,9307.18,11.91,400.61,7.46,5.78,19.69,0.33,16.69,26.63
2014-02-28,1232.32,9729.67,12.21,406.59,7.36,6.05,20.54,0.34,16.47,27.31
2014-03-31,1131.07,8850.28,11.16,368.19,7.12,5.5,18.85,0.31,15.93,24.96
2014-04-30,1182.56,9037.06,11.61,382.03,7.31,5.62,19.71,0.33,16.35,25.96
2014-05-31,1132.99,8588.18,11.85,381.68,7.16,5.34,18.88,0.31,16.03,26.51
2014-06-30,1142.61,8853.7,11.77,389.08,7.39,5.5,19.04,0.32,16.53,26.32
2014-07-31,1134.66,8724.85,11.51,363.99,7.28,5.42,18.91,0.32,16.29,25.75
2014-08-31,,,,,,,,,,
2014-09-30,1245.88,9363.44,12.5,405.43,7.28,5.82,20.76,0.35,16.29,27.96
2014-10-31,1193.91,9344.02,11.73,388.05,7.58,5.81,19.9,0.33,16.96,26.23
2014-11-30,1184.21,9563.1,11.94,455.12,7.71,5.94,19.74,0.33,17.24,26.7
2014-12-31,1869.51,14402.94,11.53,599.25,7.37,8.95,31.16,0.52,16.49,25.8
